ZIPCODE,totalJobs,POPULATION
10001,208913,22413.0
10002,26789,81305.0
10003,98019,55878.0
10004,79535,2187.0
10005,51207,8107.0
10006,21519,3011.0
10007,43877,7323.0
10009,8929,61455.0
10010,83832,29881.0
10011,85626,50594.0
10012,48258,24276.0
10013,164878,27985.0
10014,43400,31328.0
10016,119412,54606.0
10017,152101,15918.0
10018,151145,5503.0
10019,173938,41966.0
10020,19168,0.0
10021,31049,45299.0
10022,141508,33135.0
10023,46675,62800.0
10024,21933,58521.0
10025,24365,96054.0
10026,5187,34313.0
10027,48458,58639.0
10028,19546,47530.0
10029,35213,77503.0
10030,4785,26720.0
10031,6917,57010.0
10032,20431,57606.0
10033,9682,54284.0
10034,4681,39149.0
10035,16502,34884.0
10036,158730,23543.0
10037,4843,16931.0
10038,48607,19127.0
10039,1759,24234.0
10040,5587,41033.0
10044,3117,11661.0
10065,55459,33459.0
10069,643,5850.0
10075,10321,25203.0
10103,9040,0.0
10110,10624,0.0
10111,6006,0.0
10112,11747,0.0
10115,1695,0.0
10119,16722,0.0
10128,19277,55748.0
10152,3284,0.0
10153,6398,0.0
10154,7187,0.0
10162,235,0.0
10165,7099,0.0
10167,10144,0.0
10168,7521,0.0
10169,9945,0.0
10170,10575,0.0
10171,2787,0.0
10172,4950,0.0
10173,6005,0.0
10174,5646,0.0
10177,2520,0.0
10271,5118,0.0
10278,231,0.0
10279,4028,0.0
10280,8064,3170.0
10282,13734,4139.0
10301,8336,40438.0
10302,4613,18123.0
10303,6974,27048.0
10304,7657,41502.0
10305,12548,41746.0
10306,12533,55602.0
10307,1899,14096.0
10308,3399,27612.0
10309,8430,33114.0
10310,7937,25003.0
10312,7364,58506.0
10314,24970,85430.0
10451,20553,44140.0
10452,8413,76104.0
10453,7789,77576.0
10454,10814,37466.0
10455,13257,39834.0
10456,11628,89390.0
10457,16168,70253.0
10458,18653,79362.0
10459,8046,46804.0
10460,6937,56670.0
10461,32732,50549.0
10462,15782,75674.0
10463,14471,70641.0
10464,1479,4438.0
10465,8441,42012.0
10466,10919,68942.0
10467,27761,97932.0
10468,8531,72877.0
10469,9271,65101.0
10470,3516,14740.0
10471,9147,23477.0
10472,5480,66356.0
10473,8763,58284.0
10474,18165,12281.0
10475,10238,40931.0
11001,547,3944.0
11004,11822,11776.0
11005,224,3533.0
11040,399,2349.0
11101,88727,26254.0
11102,8550,33944.0
11103,9649,38234.0
11104,6210,27127.0
11105,10802,36906.0
11106,13579,38665.0
11109,969,2752.0
11201,121076,53041.0
11203,23599,78060.0
11204,15176,77354.0
11205,15861,41125.0
11206,24476,83575.0
11207,16284,93556.0
11208,15294,94410.0
11209,14843,69255.0
11210,13574,67067.0
11211,49929,60861.0
11212,12647,83866.0
11213,9532,62426.0
11214,16547,89061.0
11215,25447,63272.0
11216,6915,53862.0
11217,25143,36615.0
11218,23566,72280.0
11219,49498,92561.0
11220,29413,97257.0
11221,9757,80232.0
11222,17127,36315.0
11223,18487,79864.0
11224,8208,49600.0
11225,7537,56527.0
11226,10771,106132.0
11228,5803,43080.0
11229,19637,79608.0
11230,35144,80857.0
11231,14418,33144.0
11232,18473,29521.0
11233,8016,66737.0
11234,17908,85853.0
11235,33905,76130.0
11236,14159,94480.0
11237,17540,49335.0
11238,10969,46664.0
11239,3562,12562.0
11354,30585,58525.0
11355,28439,82809.0
11356,10517,23379.0
11357,8252,38944.0
11358,6368,37743.0
11359,24,0.0
11360,3006,18973.0
11361,17263,28496.0
11362,3809,17707.0
11363,1353,7060.0
11364,3855,33937.0
11365,9602,40528.0
11366,3461,13168.0
11367,7023,41773.0
11368,13257,109069.0
11369,8467,38116.0
11370,13849,40591.0
11371,10651,0.0
11372,10092,66636.0
11373,24620,101282.0
11374,13669,42755.0
11375,33093,68555.0
11377,19113,90852.0
11378,23380,35473.0
11379,6202,35428.0
11385,18752,98436.0
11411,1625,18216.0
11412,2446,35019.0
11413,10386,39349.0
11414,3899,26148.0
11415,7097,18990.0
11416,8299,25423.0
11417,4664,28562.0
11418,14103,36607.0
11419,4902,47054.0
11420,5627,44538.0
11421,2968,39014.0
11422,3351,30139.0
11423,3685,30243.0
11426,3142,20050.0
11427,5902,21942.0
11428,3102,18818.0
11429,2888,25116.0
11430,31100,16.0
11432,21291,62075.0
11433,5566,33679.0
11434,15293,57989.0
11435,8161,53404.0
11436,1336,18681.0
11451,257,0.0
11691,11366,60267.0
11692,1862,18018.0
11693,2474,11052.0
11694,3177,20163.0
11697,427,4079.0
